final_column_name,display_label,use_for_clustering_yes_no,exists_in_v2_table,used_for_clustering
avg_household_size_v2,Average household size,Yes,True,True
employment_population_ratio,Employment-population ratio,No,True,False
labor_force_participation_rate,Labor force participation rate,No,True,False
median_household_income,Median household income,Yes,True,True
pct_age_18_24,Population age 18-24,Yes,True,True
pct_age_65_plus,Population age 65+,Yes,True,True
pct_age_under_18,Population under 18,No,True,False
pct_bachelors_or_higher,Bachelor's or higher,Yes,True,True
pct_black_non_hispanic,Black non-Hispanic,No,True,False
pct_family_households,Family households,Yes,True,True
pct_hh_income_100k_plus,Households income $100k+,Yes,True,True
pct_hh_income_25k_50k,Households income $25k-$50k,Yes,True,True
pct_hh_income_50k_100k,Households income $50k-$100k,Yes,True,True
pct_hh_income_under_25k,Households income under $25k,Yes,True,True
pct_high_school_grad,High school graduate,No,True,False
pct_hispanic,Hispanic,No,True,False
pct_households_with_65_plus,Households with age 65+,No,True,False
pct_households_with_own_children_under_18,Households with own children under 18,Yes,True,True
pct_less_than_high_school,Less than high school,Yes,True,True
pct_nonfamily_households,Nonfamily households,No,True,False
pct_one_person_households,One-person households,Yes,True,True
pct_owner_occupied,Owner-occupied housing share,No,True,False
pct_rent_burden_30_plus,Rent burden 30%+,Yes,True,True
pct_rent_burden_50_plus,Rent burden 50%+,Yes,True,True
pct_renter_occupied,Renter-occupied housing share,Yes,True,True
pct_senior_living_alone_households,Senior living alone households,Yes,True,True
pct_some_college_or_associate,Some college or associate,Yes,True,True
pct_speak_language_other_than_english_at_home,Speak language other than English at home,No,True,False
pct_vacant_housing_units,Vacant housing units share,Yes,True,True
pct_white_non_hispanic,White non-Hispanic,No,True,False
poverty_rate,Poverty rate,Yes,True,True
total_population,Total population,No,True,False
unemployment_rate,Unemployment rate,Yes,True,True
